timesteps,ent_coef,policy_loss,value_loss,entropy_loss,approx_kl,early_stopped,grad_norm,reward_mean,reward_std,avg_steps_survived,max_hover_streak,avg_final_dist,min_final_dist,std_final_dist,effective_std_mean,total_param_norm,outcome_oob,outcome_attitude-ROLL,outcome_attitude-PITCH,outcome_hit,outcome_hover_success,outcome_moving_away_cap,outcome_drift,outcome_timeout
645000,0.00437,0.33756431346409954,43.80254528671503,5.809916224330664,55.31781137188955,True,307.7056415826082,754.2144076534913,889.8383228773879,1911.4,0,64.62857622953047,12.460918059712183,40.75748758134934,0.05703064054250717,176.5277246311307,0,20,0,0,0,0,0,0
660000,0.004355,0.1558973408609745,101.2241396419704,5.809701284393668,0.6796864903735695,True,219.07667762041092,876.7563790525262,963.430796406089,1157.0,0,113.23783225183645,86.9079082197158,17.833339086465447,0.0570308119058609,176.56280150264502,0,16,4,0,0,0,0,0
675000,0.00434,0.07613727779244073,52.84228290617466,5.809758860617876,0.14341377833625302,True,221.18534237146378,444.56872395094854,267.24795276359174,1553.5,0,77.25472987207645,2.429921477253856,45.99398623627694,0.05703086778521538,176.57097163051367,0,10,5,0,0,5,0,0
690000,0.004325,0.22606600517610786,91.1508683077991,5.809748137369752,2.4045626579754753,True,219.86396384239197,1002.989707829126,831.2232864897583,1222.2,0,107.509326333058,91.62731440476422,10.795040364208745,0.057031042873859406,176.61755444854498,0,18,2,0,0,0,0,0
705000,0.0043100000000000005,0.25980304284894373,67.38717284798622,5.809702720493078,1.40807982973638,True,279.1873855292797,726.1995217261216,664.8140269131117,1274.75,0,106.42046297508132,66.81217430307417,22.936266888757658,0.05703132599592209,176.65466862171888,0,13,7,0,0,0,0,0
720000,0.004295,0.2036709943349706,38.940908286720514,5.809704091399908,0.7140361047786428,True,240.86541756987572,652.121604724287,629.5241100170975,1370.55,0,103.12669388505246,29.741639423536274,36.9960943384175,0.05703156441450119,176.68669237196445,0,13,7,0,0,0,0,0
735000,0.00428,0.2964684887556359,206.02447172999382,5.809706876054406,19.056962674469105,True,403.12381559610367,1245.9158869862258,935.8343981070077,1712.25,0,72.48378615675485,5.771720834033477,48.95124035725438,0.057031694799661636,176.73154339194298,0,8,7,0,0,5,0,0
750000,0.004265,0.29040128680935595,192.21582381427288,5.8096789345145226,5.564835337587283,True,337.36509054899216,990.3504576294314,1006.9971938772127,919.4,0,128.4133343155209,118.69954073996495,9.302605310495718,0.05703175440430641,176.77112187445164,0,16,4,0,0,0,0,0
765000,0.00425,0.05778000158170471,21.37288348376751,5.809951173141599,0.3481150114093907,True,242.9551754295826,292.9706327799012,137.0105438237678,861.05,0,130.06542902658177,117.73844540966975,11.402092096695702,0.057031720876693726,176.7599719464779,0,16,4,0,0,0,0,0
780000,0.004235,0.2922079119598493,137.7787607908249,5.8096207696944475,4.755072525149444,True,373.62125089764595,430.1657794299523,663.9868236681747,1154.95,0,116.95244491545218,38.010629488321825,18.918135022321135,0.05703183263540268,176.77421038597822,0,12,8,0,0,0,0,0
